id,title,status,loc.0,date,time,mins,desc,tags.0,tags.1,tags.2,people.0.id,people.0.name,people.1.id,people.1.name,people.2.id,people.2.name,people.3.id,people.3.name,people.4.id,people.4.name,140
111,The KAG Podcast: What the baQa' are we trying to do?,,tlhIngan rlvSo' (Intl Boardroom),2017-11-25,11:00,420,"General discussion of the KAG podcast. What we have done, what we plan to do and what do you want us to talk about?",Podcast,Klingon,,25,John Lars Shoberg,25,,,,,,,,
115,United Federation of Science Round Table,,United Federation for Science (GB-6),2017-11-25,11:00,,MFS Indy will facilitate a private round table discussion amongst the Midwest MFS leadership teams in attendance. This roundtable will be designed to help strengthen the nascent Midwest MFS network and encourage collaboration between the cities.,Private,,,46,Rufus Cochran,,,,,,,,,
41,Women of Science Game,,Astrophysics (FS-D),2017-11-25,12:00,60,"Participate in this fun game for all ages of women of science history. Presented by Gal's Guide to the Galaxy, these time travelers of history will present 26 women from various sciences and see how many you knew and what new gals you might never have heard about in school.",Gaming,,,28,Kate Chaplin,,,,,,,,,
42,Cassini and Saturn,,Guinan's Place (Brickyard),2017-11-25,12:00,60,The latest discoveries from NASA's Cassini mission to Saturn.,Presentation,STEM,,19,Heather Drinkwater,,,,,,,,,
43,Genius Kits,,Holocenter (FS-C),2017-11-25,12:00,60,You are stranded on a remote planet and were only able to salvage what is in the Kit you have been given. Do you build a spaceship? Communications device? Signaling devices to find help? Or something to make life on your new home better?,Workshop,STEM,,4,Beth Ann Broadhurst,,,,,,,,,
44,Rocket Types & How They Work,,Briefing Room (DR-2),2017-11-25,12:00,60,"It’s rocket science! But what type? Chemical rockets are standard, but there are other types of space propulsion, too: nuclear thermal, ion, solar sails, and more!",Presentation,STEM,,50,Shannon Eichorn,,,,,,,,,
45,John Billingsley and Bonita Friedericy Q&A,,Main Bridge (GB1-5),2017-11-25,12:00,60,,Q&A,Media Guests,,16,John Billingsley,75,Bonita Friederacy,,,,,,,
62,Teddy Bear Tea Party,,Observation Lounge (Golden Preconvene),2017-11-25,12:30,60,"Teddy Bear Tea is an opportunity for the young and the mature to show off their favorite Trek or other sci-fi themed 'stuffed' friends with others. Meet other collectors, glimpse other creations, make a new friend or two, play a game, maybe win a prize and just social. Admission is free to all con attendees and their 'stuffed' friends. Refreshments are provided, Hosts for 2017 include Starfleet Command members: Rose Ciccarone, and crew of USS Indianapolis NCC 1945-D.",Mingle,,,45,Rose Ciccarone,,,,,,,,,
116,John and Bonnie Photo Op,,Promenade,2017-11-25,13:00,30,Get your photo taken with John Billingsley and Bonita Friedericy. Additional fee required.,Photo Op,Media Guests,,16,John Billingsley,75,Bonita Friedericy,,,,,,,
46,So You Wanna Go Solar,,Astrophysics (FS-D),2017-11-25,13:00,60,"If you are interested in solar energy works, battery systems, and how many solar modules would take to run your home; come see Phil Teague, Co-Founder of Rectify Solar give a presentation on the ins and outs of solar energy!",Presentation,STEM,,41,Phil Teague,,,,,,,,,
